"region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"E. NOR. CENTRAL","REFUSED",NA,NA,NA,"DIVORCED","BACHELOR",NA,"WORKING FULLTIME",NA,NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",35,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",34,"ABOVE AVERAGE","DIVORCED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",2002
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",22,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,42,NA,"MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,51,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",79,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2002
"E. NOR. CENTRAL",NA,"PRETTY HAPPY",63,"AVERAGE","DIVORCED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,NA,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"MALE",2002
"E. NOR. CENTRAL","REFUSED",NA,26,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2002
"E. NOR. CENTRAL","$8000 TO 9999","NOT TOO HAPPY",50,"FAR BELOW AVERAGE","DIVORCED","JUNIOR COLLEGE",NA,"OTHER","STRONG REPUBLICAN","SLIGHTLY LIBERAL","FEMALE",2002
"E. NOR. CENTRAL","REFUSED",NA,32,NA,"NEVER MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"E. NOR. CENTRAL","REFUSED",NA,34,NA,"DIVORCED","LT HIGH SCHOOL",NA,"OTHER",NA,NA,"MALE",2002
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",30,"AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME",NA,NA,"MALE",2002
"E. NOR. CENTRAL","REFUSED",NA,26,NA,"NEVER MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","STRONG DEMOCRAT","LIBERAL","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",57,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",52,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,25,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,82,NA,"WIDOWED","HIGH SCHOOL","EXCELLENT","RETIRED","NOT STR REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME",NA,"MODERATE","MALE",2002
"E. NOR. CENTRAL","$3000 TO 3999",NA,43,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,26,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",41,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",35,"BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2002
"E. NOR. CENTRAL","$8000 TO 9999","PRETTY HAPPY",25,"FAR BELOW AVERAGE","SEPARATED","HIGH SCHOOL","FAIR","KEEPING HOUSE",NA,"MODERATE","FEMALE",2002
"E. NOR. CENTRAL","LT $1000",NA,24,NA,"NEVER MARRIED","HIGH SCHOOL","FAIR","OTHER","INDEPENDENT",NA,"MALE",2002
"E. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",23,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","IND NEAR DEM","MODERATE","FEMALE",2002
"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",32,"BELOW AVERAGE","SEPARATED","GRADUATE","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,24,NA,"DIVORCED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",63,"AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,37,NA,"MARRIED","HIGH SCHOOL",NA,"TEMP NOT WORKING","IND NEAR DEM",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",27,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","OTHER","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",27,"AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","LIBERAL","FEMALE",2002
"E. NOR. CENTRAL","$7000 TO 7999",NA,51,NA,"DIVORCED","LT HIGH SCHOOL","GOOD","OTHER","STRONG DEMOCRAT",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,42,NA,"MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,35,NA,"NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",54,"ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,49,NA,"MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,40,NA,"MARRIED","BACHELOR",NA,"WORKING FULLTIME","OTHER PARTY",NA,"MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",42,"AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",62,"ABOVE AVERAGE","MARRIED","BACHELOR","FAIR","RETIRED","STRONG REPUBLICAN","CONSERVATIVE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",52,"FAR ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",42,"AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",60,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","MODERATE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,34,NA,"MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",28,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,65,NA,"NEVER MARRIED","GRADUATE","EXCELLENT","RETIRED","STRONG DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC",NA,"VERY HAPPY",72,"BELOW AVERAGE","WIDOWED","BACHELOR","GOOD","KEEPING HOUSE","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2002
"SOUTH ATLANTIC","$15000 - 19999",NA,34,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,36,NA,"MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"MALE",2002
"SOUTH ATLANTIC","REFUSED","PRETTY HAPPY",41,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","CONSERVATIVE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",31,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,21,NA,"NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"FEMALE",2002
"SOUTH ATLANTIC",NA,NA,57,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"SOUTH ATLANTIC","$20000 - 24999","NOT TOO HAPPY",72,NA,"WIDOWED","HIGH SCHOOL","EXCELLENT","RETIRED","INDEPENDENT","CONSERVATIVE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,45,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","REFUSED",NA,58,NA,"MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,34,NA,"MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$3000 TO 3999","PRETTY HAPPY",64,"BELOW AVERAGE","SEPARATED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,57,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","IND NEAR REP",NA,"FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",42,"FAR BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",55,"BELOW AVERAGE","SEPARATED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2002
"W. NOR. CENTRAL",NA,"PRETTY HAPPY",28,"BELOW AVERAGE","NEVER MARRIED",NA,"FAIR","UNEMPL LAID OFF",NA,NA,"MALE",2002
"W. NOR. CENTRAL","$8000 TO 9999","VERY HAPPY",78,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,26,NA,"DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","OTHER PARTY",NA,"MALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,52,NA,"MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM",NA,"MALE",2002
"W. NOR. CENTRAL","$15000 - 19999",NA,33,NA,"DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","OTHER PARTY",NA,"FEMALE",2002
"W. NOR. CENTRAL","$20000 - 24999","VERY HAPPY",30,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",28,"BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,34,NA,"MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",27,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","LIBERAL","FEMALE",2002
"W. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",42,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","UNEMPL LAID OFF","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"W. NOR. CENTRAL","$8000 TO 9999",NA,74,NA,"WIDOWED","HIGH SCHOOL",NA,"RETIRED","INDEPENDENT",NA,"MALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,52,NA,"MARRIED","HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT",NA,"MALE",2002
"W. NOR. CENTRAL","$10000 - 14999","NOT TOO HAPPY",37,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2002
"W. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",36,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","FAIR","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2002
"W. NOR. CENTRAL","$25000 OR MORE",NA,34,NA,"NEVER MARRIED","GRADUATE","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"W. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",74,"AVERAGE","WIDOWED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",2002
"MOUNTAIN","$15000 - 19999","VERY HAPPY",43,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","WORKING FULLTIME","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2002
"MOUNTAIN","REFUSED","NOT TOO HAPPY",56,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR DEM","EXTREMELY LIBERAL","FEMALE",2002
"MOUNTAIN","$10000 - 14999",NA,27,NA,"NEVER MARRIED","GRADUATE","GOOD","SCHOOL","INDEPENDENT",NA,"FEMALE",2002
"MOUNTAIN","$25000 OR MORE",NA,39,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2002
"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",51,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2002
"MOUNTAIN","$25000 OR MORE","VERY HAPPY",34,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",2002
"MOUNTAIN","$25000 OR MORE",NA,23,NA,"SEPARATED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"FEMALE",2002
"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",22,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2002
"MOUNTAIN","$10000 - 14999","VERY HAPPY",80,"AVERAGE","WIDOWED","HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2002
"MOUNTAIN","$25000 OR MORE",NA,35,NA,"NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"MOUNTAIN","$25000 OR MORE",NA,39,NA,"DIVORCED","BACHELOR",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"FEMALE",2002
"MOUNTAIN","$20000 - 24999",NA,53,NA,"DIVORCED","HIGH SCHOOL","FAIR","KEEPING HOUSE","INDEPENDENT",NA,"FEMALE",2002
"MOUNTAIN","$25000 OR MORE","VERY HAPPY",39,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2002
"MOUNTAIN","$25000 OR MORE","NOT TOO HAPPY",27,"AVERAGE","SEPARATED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",2002
"MOUNTAIN","$25000 OR MORE",NA,31,NA,"NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT",NA,"MALE",2002
"MOUNTAIN","$25000 OR MORE",NA,56,NA,"MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"MALE",2002
"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",33,"AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"MOUNTAIN","$10000 - 14999","VERY HAPPY",26,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2002
"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",32,"ABOVE AVERAGE","DIVORCED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2002
"MOUNTAIN","$25000 OR MORE",NA,46,NA,"NEVER MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"MOUNTAIN","$25000 OR MORE","NOT TOO HAPPY",47,"FAR ABOVE AVERAGE","NEVER MARRIED","GRADUATE",NA,"WORKING FULLTIME","OTHER PARTY","EXTREMELY LIBERAL","FEMALE",2002
"MOUNTAIN","$25000 OR MORE",NA,43,NA,"MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","STRONG REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,44,NA,"DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",38,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2002
"E. NOR. CENTRAL","$10000 - 14999","NOT TOO HAPPY",56,"FAR BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","IND NEAR REP","CONSERVATIVE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,37,NA,"DIVORCED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,58,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",30,"AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2002
"E. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",88,"AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","RETIRED","IND NEAR DEM","MODERATE","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,45,NA,"DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,40,NA,"MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$8000 TO 9999","PRETTY HAPPY",19,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",25,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",59,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,38,NA,"MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR REPUBLICAN",NA,"FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE",NA,23,NA,"NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","IND NEAR REP",NA,"MALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",31,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",34,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",38,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",76,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","RETIRED","NOT STR REPUBLICAN","MODERATE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,43,NA,"MARRIED","BACHELOR","EXCELLENT","KEEPING HOUSE","IND NEAR DEM",NA,"FEMALE",2002
"SOUTH ATLANTIC","$20000 - 24999","NOT TOO HAPPY",53,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","POOR","WORKING FULLTIME","NOT STR REPUBLICAN","EXTREMELY LIBERAL","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",46,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,40,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",50,"AVERAGE","MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$6000 TO 6999","PRETTY HAPPY",34,"FAR BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL","EXCELLENT","SCHOOL","STRONG DEMOCRAT","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,23,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","INDEPENDENT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,44,NA,"DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,48,NA,"MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,44,NA,"NEVER MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","NOT STR REPUBLICAN",NA,"MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,24,NA,"MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2002
"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",39,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"SOUTH ATLANTIC","$8000 TO 9999","PRETTY HAPPY",81,"AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","STRONG DEMOCRAT","EXTRMLY CONSERVATIVE","MALE",2002
"SOUTH ATLANTIC","$25000 OR MORE",NA,30,NA,"NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM",NA,"MALE",2002
"PACIFIC","$6000 TO 6999",NA,33,NA,"NEVER MARRIED","BACHELOR",NA,"UNEMPL LAID OFF","IND NEAR REP",NA,"MALE",2002
"PACIFIC","$25000 OR MORE",NA,38,NA,"MARRIED","BACHELOR","GOOD","KEEPING HOUSE","STRONG DEMOCRAT",NA,"FEMALE",2002
"PACIFIC",NA,"VERY HAPPY",67,"AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2002
"PACIFIC","$10000 - 14999","NOT TOO HAPPY",25,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2002
"PACIFIC","$15000 - 19999",NA,40,NA,"DIVORCED","HIGH SCHOOL","FAIR","WORKING FULLTIME",NA,NA,"MALE",2002
"PACIFIC","$25000 OR MORE",NA,44,NA,"NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
